# 4x4x3 supercell for harmonic, 4x4x3 supercell for cubic ifcs
# 53x53x33 k points for kappa
# cubic ifcs up to 15NN shell trained with ordinary least squares by 200 configurations.
# Temperature = 300 K
"mfp (nm)" "cumulative kappa xx (W/mK)" "cumulative kappa yy (W/mK)" "cumulative kappa zz (W/mK)"
0.00554 0.00000 0.00000 0.00000
0.00554 0.00000 0.00000 0.00000
0.00555 0.00000 0.00000 0.00000
0.00556 0.00000 0.00000 0.00000
0.00557 0.00000 0.00000 0.00000
0.00558 0.00000 0.00000 0.00000
0.00559 0.00000 0.00000 0.00000
0.00560 0.00000 0.00000 0.00000
0.00561 0.00000 0.00000 0.00000
0.00562 0.00000 0.00000 0.00000
0.00562 0.00000 0.00000 0.00000
0.00563 0.00000 0.00000 0.00000
0.00564 0.00000 0.00000 0.00000
0.00565 0.00000 0.00000 0.00000
0.00566 0.00000 0.00000 0.00000
0.00567 0.00000 0.00000 0.00000
0.00568 0.00000 0.00000 0.00000
0.00569 0.00000 0.00000 0.00000
0.00570 0.00000 0.00000 0.00000
0.00571 0.00000 0.00000 0.00000
0.00572 0.00000 0.00000 0.00000
0.00572 0.00000 0.00000 0.00000
0.00573 0.00000 0.00000 0.00000
0.00574 0.00000 0.00000 0.00000
0.00575 0.00000 0.00000 0.00000
0.00576 0.00000 0.00000 0.00000
0.00577 0.00000 0.00000 0.00000
0.00578 0.00000 0.00000 0.00000
0.00579 0.00000 0.00000 0.00000
0.00580 0.00000 0.00000 0.00000
0.00581 0.00000 0.00000 0.00000
0.00582 0.00000 0.00000 0.00000
0.00583 0.00000 0.00000 0.00000
0.00583 0.00000 0.00000 0.00000
0.00584 0.00000 0.00000 0.00000
0.00585 0.00000 0.00000 0.00000
0.00586 0.00000 0.00000 0.00000
0.00587 0.00000 0.00000 0.00000
0.00588 0.00000 0.00000 0.00000
0.00589 0.00000 0.00000 0.00000
0.00590 0.00000 0.00000 0.00000
0.00591 0.00000 0.00000 0.00000
0.00592 0.00000 0.00000 0.00000
0.00593 0.00000 0.00000 0.00000
0.00594 0.00000 0.00000 0.00000
0.00595 0.00000 0.00000 0.00000
0.00596 0.00000 0.00000 0.00000
0.00597 0.00000 0.00000 0.00000
0.00598 0.00000 0.00000 0.00000
0.00599 0.00000 0.00000 0.00000
0.00599 0.00000 0.00000 0.00000
0.00600 0.00000 0.00000 0.00000
0.00601 0.00000 0.00000 0.00000
0.00602 0.00000 0.00000 0.00000
0.00603 0.00000 0.00000 0.00000
0.00604 0.00000 0.00000 0.00000
0.00605 0.00000 0.00000 0.00000
0.00606 0.00000 0.00000 0.00000
0.00607 0.00000 0.00000 0.00000
0.00608 0.00000 0.00000 0.00000
0.00609 0.00000 0.00000 0.00000
0.00610 0.00000 0.00000 0.00000
0.00611 0.00000 0.00000 0.00000
0.00612 0.00000 0.00000 0.00000
0.00613 0.00000 0.00000 0.00000
0.00614 0.00000 0.00000 0.00000
0.00615 0.00000 0.00000 0.00000
0.00616 0.00000 0.00000 0.00000
0.00617 0.00000 0.00000 0.00000
0.00618 0.00000 0.00000 0.00000
0.00619 0.00000 0.00000 0.00000
0.00620 0.00000 0.00000 0.00000
0.00621 0.00000 0.00000 0.00000
0.00622 0.00000 0.00000 0.00000
0.00623 0.00000 0.00000 0.00000
0.00624 0.00000 0.00000 0.00000
0.00625 0.00000 0.00000 0.00000
0.00626 0.00000 0.00000 0.00000
0.00627 0.00000 0.00000 0.00000
0.00628 0.00000 0.00000 0.00000
0.00629 0.00000 0.00000 0.00000
0.00630 0.00000 0.00000 0.00000
0.00631 0.00000 0.00000 0.00000
0.00632 0.00000 0.00000 0.00000
0.00633 0.00000 0.00000 0.00000
0.00634 0.00000 0.00000 0.00000
0.00635 0.00000 0.00000 0.00000
0.00636 0.00000 0.00000 0.00000
0.00637 0.00000 0.00000 0.00000
0.00638 0.00000 0.00000 0.00000
0.00639 0.00000 0.00000 0.00000
0.00640 0.00000 0.00000 0.00000
0.00641 0.00000 0.00000 0.00000
0.00642 0.00000 0.00000 0.00000
0.00643 0.00000 0.00000 0.00000
0.00644 0.00000 0.00000 0.00000
0.00645 0.00000 0.00000 0.00000
0.00646 0.00000 0.00000 0.00000
0.00647 0.00000 0.00000 0.00000
0.00648 0.00000 0.00000 0.00000
0.00649 0.00000 0.00000 0.00000
0.00650 0.00000 0.00000 0.00000
0.00651 0.00000 0.00000 0.00000
0.00652 0.00000 0.00000 0.00000
0.00653 0.00000 0.00000 0.00000
0.00654 0.00000 0.00000 0.00000
0.00655 0.00000 0.00000 0.00000
0.00656 0.00000 0.00000 0.00000
0.00657 0.00000 0.00000 0.00000
0.00658 0.00000 0.00000 0.00000
0.00660 0.00000 0.00000 0.00000
0.00661 0.00000 0.00000 0.00000
0.00662 0.00000 0.00000 0.00000
0.00663 0.00000 0.00000 0.00000
0.00664 0.00000 0.00000 0.00000
0.00665 0.00000 0.00000 0.00000
0.00666 0.00000 0.00000 0.00000
0.00667 0.00000 0.00000 0.00000
0.00668 0.00000 0.00000 0.00000
0.00669 0.00000 0.00000 0.00000
0.00670 0.00000 0.00000 0.00000
0.00671 0.00000 0.00000 0.00000
0.00672 0.00000 0.00000 0.00000
0.00673 0.00000 0.00000 0.00000
0.00674 0.00000 0.00000 0.00000
0.00675 0.00000 0.00000 0.00000
0.00677 0.00000 0.00000 0.00000
0.00678 0.00000 0.00000 0.00000
0.00679 0.00000 0.00000 0.00000
0.00680 0.00000 0.00000 0.00000
0.00681 0.00000 0.00000 0.00000
0.00682 0.00000 0.00000 0.00000
0.00683 0.00000 0.00000 0.00000
0.00684 0.00000 0.00000 0.00000
0.00685 0.00000 0.00000 0.00000
0.00686 0.00000 0.00000 0.00000
0.00687 0.00000 0.00000 0.00000
0.00689 0.00000 0.00000 0.00000
0.00690 0.00000 0.00000 0.00000
0.00691 0.00000 0.00000 0.00000
0.00692 0.00000 0.00000 0.00000
0.00693 0.00000 0.00000 0.00000
0.00694 0.00000 0.00000 0.00000
0.00695 0.00000 0.00000 0.00000
0.00696 0.00000 0.00000 0.00000
0.00697 0.00000 0.00000 0.00000
0.00698 0.00000 0.00000 0.00000
0.00700 0.00000 0.00000 0.00000
0.00701 0.00000 0.00000 0.00000
0.00702 0.00000 0.00000 0.00000
0.00703 0.00000 0.00000 0.00000
0.00704 0.00000 0.00000 0.00000
0.00705 0.00000 0.00000 0.00000
0.00706 0.00000 0.00000 0.00000
0.00707 0.00000 0.00000 0.00000
0.00709 0.00000 0.00000 0.00000
0.00710 0.00000 0.00000 0.00000
0.00711 0.00000 0.00000 0.00000
0.00712 0.00000 0.00000 0.00000
0.00713 0.00000 0.00000 0.00000
0.00714 0.00000 0.00000 0.00000
0.00715 0.00000 0.00000 0.00000
0.00716 0.00000 0.00000 0.00000
0.00718 0.00000 0.00000 0.00000
0.00719 0.00000 0.00000 0.00000
0.00720 0.00000 0.00000 0.00000
0.00721 0.00000 0.00000 0.00000
0.00722 0.00000 0.00000 0.00000
0.00723 0.00000 0.00000 0.00000
0.00724 0.00000 0.00000 0.00000
0.00726 0.00000 0.00000 0.00000
0.00727 0.00000 0.00000 0.00000
0.00728 0.00000 0.00000 0.00000
0.00729 0.00000 0.00000 0.00000
0.00730 0.00000 0.00000 0.00000
0.00731 0.00000 0.00000 0.00000
0.00733 0.00000 0.00000 0.00000
0.00734 0.00000 0.00000 0.00000
0.00735 0.00000 0.00000 0.00000
0.00736 0.00000 0.00000 0.00000
0.00737 0.00000 0.00000 0.00000
0.00738 0.00000 0.00000 0.00000
0.00740 0.00000 0.00000 0.00000
0.00741 0.00000 0.00000 0.00000
0.00742 0.00000 0.00000 0.00000
0.00743 0.00000 0.00000 0.00000
0.00744 0.00000 0.00000 0.00000
0.00746 0.00000 0.00000 0.00000
0.00747 0.00000 0.00000 0.00000
0.00748 0.00000 0.00000 0.00000
0.00749 0.00000 0.00000 0.00000
0.00750 0.00000 0.00000 0.00000
0.00751 0.00000 0.00000 0.00000
0.00753 0.00000 0.00000 0.00000
0.00754 0.00000 0.00000 0.00000
0.00755 0.00000 0.00000 0.00000
0.00756 0.00000 0.00000 0.00000
0.00757 0.00000 0.00000 0.00000
0.00759 0.00000 0.00000 0.00000
0.00760 0.00000 0.00000 0.00000
0.00761 0.00000 0.00000 0.00000
0.00762 0.00000 0.00000 0.00000
0.00764 0.00000 0.00000 0.00000
0.00765 0.00000 0.00000 0.00000
0.00766 0.00000 0.00000 0.00000
0.00767 0.00000 0.00000 0.00000
0.00768 0.00000 0.00000 0.00000
0.00770 0.00000 0.00000 0.00000
0.00771 0.00000 0.00000 0.00000
0.00772 0.00000 0.00000 0.00000
0.00773 0.00000 0.00000 0.00000
0.00775 0.00000 0.00000 0.00000
0.00776 0.00000 0.00000 0.00000
0.00777 0.00000 0.00000 0.00000
0.00778 0.00000 0.00000 0.00000
0.00780 0.00000 0.00000 0.00000
0.00781 0.00000 0.00000 0.00000
0.00782 0.00000 0.00000 0.00000
0.00783 0.00000 0.00000 0.00000
0.00784 0.00000 0.00000 0.00000
0.00786 0.00000 0.00000 0.00000
0.00787 0.00000 0.00000 0.00000
0.00788 0.00000 0.00000 0.00000
0.00790 0.00000 0.00000 0.00000
0.00791 0.00000 0.00000 0.00000
0.00792 0.00000 0.00000 0.00000
0.00793 0.00000 0.00000 0.00000
0.00795 0.00000 0.00000 0.00000
0.00796 0.00000 0.00000 0.00000
0.00797 0.00000 0.00000 0.00000
0.00798 0.00000 0.00000 0.00000
0.00800 0.00000 0.00000 0.00000
0.00801 0.00000 0.00000 0.00000
0.00802 0.00000 0.00000 0.00000
0.00803 0.00000 0.00000 0.00000
0.00805 0.00000 0.00000 0.00000
0.00806 0.00000 0.00000 0.00000
0.00807 0.00000 0.00000 0.00000
0.00809 0.00000 0.00000 0.00000
0.00810 0.00000 0.00000 0.00000
0.00811 0.00000 0.00000 0.00000
0.00812 0.00000 0.00000 0.00000
0.00814 0.00000 0.00000 0.00000
0.00815 0.00000 0.00000 0.00000
0.00816 0.00000 0.00000 0.00000
0.00818 0.00000 0.00000 0.00000
0.00819 0.00000 0.00000 0.00000
0.00820 0.00000 0.00000 0.00000
0.00822 0.00000 0.00000 0.00000
0.00823 0.00000 0.00000 0.00000
0.00824 0.00000 0.00000 0.00000
0.00825 0.00000 0.00000 0.00000
0.00827 0.00000 0.00000 0.00000
0.00828 0.00000 0.00000 0.00000
0.00829 0.00000 0.00000 0.00000
0.00831 0.00000 0.00000 0.00000
0.00832 0.00000 0.00000 0.00000
0.00833 0.00000 0.00000 0.00000
0.00835 0.00000 0.00000 0.00000
0.00836 0.00000 0.00000 0.00000
0.00837 0.00000 0.00000 0.00000
0.00839 0.00000 0.00000 0.00000
0.00840 0.00000 0.00000 0.00000
0.00841 0.00000 0.00000 0.00000
0.00843 0.00000 0.00000 0.00000
0.00844 0.00000 0.00000 0.00000
0.00845 0.00000 0.00000 0.00000
0.00847 0.00000 0.00000 0.00000
0.00848 0.00000 0.00000 0.00000
0.00849 0.00000 0.00000 0.00000
0.00851 0.00000 0.00000 0.00000
0.00852 0.00000 0.00000 0.00000
0.00854 0.00000 0.00000 0.00000
0.00855 0.00000 0.00000 0.00000
0.00856 0.00000 0.00000 0.00000
0.00858 0.00000 0.00000 0.00000
0.00859 0.00000 0.00000 0.00000
0.00860 0.00000 0.00000 0.00000
0.00862 0.00000 0.00000 0.00000
0.00863 0.00000 0.00000 0.00000
0.00864 0.00000 0.00000 0.00000
0.00866 0.00000 0.00000 0.00000
0.00867 0.00000 0.00000 0.00000
0.00869 0.00000 0.00000 0.00000
0.00870 0.00000 0.00000 0.00000
0.00871 0.00000 0.00000 0.00000
0.00873 0.00000 0.00000 0.00000
0.00874 0.00000 0.00000 0.00000
0.00876 0.00000 0.00000 0.00000
0.00877 0.00000 0.00000 0.00000
0.00878 0.00000 0.00000 0.00000
0.00880 0.00000 0.00000 0.00000
0.00881 0.00000 0.00000 0.00000
0.00883 0.00000 0.00000 0.00000
0.00884 0.00000 0.00000 0.00000
0.00885 0.00000 0.00000 0.00000
0.00887 0.00000 0.00000 0.00000
0.00888 0.00000 0.00000 0.00000
0.00890 0.00000 0.00000 0.00000
0.00891 0.00000 0.00000 0.00000
0.00892 0.00000 0.00000 0.00000
0.00894 0.00000 0.00000 0.00000
0.00895 0.00000 0.00000 0.00000
0.00897 0.00000 0.00000 0.00000
0.00898 0.00000 0.00000 0.00000
0.00900 0.00000 0.00000 0.00000
0.00901 0.00000 0.00000 0.00000
0.00902 0.00000 0.00000 0.00000
0.00904 0.00000 0.00000 0.00000
0.00905 0.00000 0.00000 0.00000
0.00907 0.00000 0.00000 0.00000
0.00908 0.00000 0.00000 0.00000
0.00910 0.00000 0.00000 0.00000
0.00911 0.00000 0.00000 0.00000
0.00913 0.00000 0.00000 0.00000
0.00914 0.00000 0.00000 0.00000
0.00915 0.00000 0.00000 0.00000
0.00917 0.00000 0.00000 0.00000
0.00918 0.00000 0.00000 0.00000
0.00920 0.00000 0.00000 0.00000
0.00921 0.00000 0.00000 0.00000
0.00923 0.00000 0.00000 0.00000
0.00924 0.00000 0.00000 0.00000
0.00926 0.00000 0.00000 0.00000
0.00927 0.00000 0.00000 0.00000
0.00929 0.00000 0.00000 0.00000
0.00930 0.00000 0.00000 0.00000
0.00932 0.00000 0.00000 0.00000
0.00933 0.00000 0.00000 0.00000
0.00935 0.00000 0.00000 0.00000
0.00936 0.00000 0.00000 0.00000
0.00938 0.00000 0.00000 0.00000
0.00939 0.00000 0.00000 0.00000
0.00941 0.00000 0.00000 0.00000
0.00942 0.00000 0.00000 0.00000
0.00944 0.00000 0.00000 0.00000
0.00945 0.00000 0.00000 0.00000
0.00947 0.00000 0.00000 0.00000
0.00948 0.00000 0.00000 0.00000
0.00950 0.00000 0.00000 0.00000
0.00951 0.00000 0.00000 0.00000
0.00953 0.00000 0.00000 0.00000
0.00954 0.00000 0.00000 0.00000
0.00956 0.00000 0.00000 0.00000
0.00957 0.00000 0.00000 0.00000
0.00959 0.00000 0.00000 0.00000
0.00960 0.00000 0.00000 0.00000
0.00962 0.00000 0.00000 0.00000
0.00963 0.00000 0.00000 0.00000
0.00965 0.00000 0.00000 0.00000
0.00966 0.00000 0.00000 0.00000
0.00968 0.00000 0.00000 0.00000
0.00969 0.00000 0.00000 0.00000
0.00971 0.00000 0.00000 0.00000
0.00973 0.00000 0.00000 0.00000
0.00974 0.00000 0.00000 0.00000
0.00976 0.00000 0.00000 0.00000
0.00977 0.00000 0.00000 0.00000
0.00979 0.00000 0.00000 0.00000
0.00980 0.00000 0.00000 0.00000
0.00982 0.00000 0.00000 0.00000
0.00983 0.00000 0.00000 0.00000
0.00985 0.00000 0.00000 0.00000
0.00987 0.00000 0.00000 0.00000
0.00988 0.00000 0.00000 0.00000
0.00990 0.00000 0.00000 0.00000
0.00991 0.00000 0.00000 0.00000
0.00993 0.00000 0.00000 0.00000
0.00994 0.00000 0.00000 0.00000
0.00996 0.00000 0.00000 0.00000
0.00998 0.00000 0.00000 0.00000
0.00999 0.00000 0.00000 0.00000
0.01001 0.00000 0.00000 0.00000
0.01002 0.00000 0.00000 0.00000
0.01004 0.00000 0.00000 0.00000
0.01006 0.00000 0.00000 0.00000
0.01007 0.00000 0.00000 0.00000
0.01009 0.00000 0.00000 0.00000
0.01010 0.00000 0.00000 0.00000
0.01012 0.00000 0.00000 0.00000
0.01014 0.00000 0.00000 0.00000
0.01015 0.00000 0.00000 0.00000
0.01017 0.00000 0.00000 0.00000
0.01018 0.00000 0.00000 0.00000
0.01020 0.00000 0.00000 0.00000
0.01022 0.00000 0.00000 0.00000
0.01023 0.00000 0.00000 0.00000
0.01025 0.00000 0.00000 0.00000
0.01027 0.00000 0.00000 0.00000
0.01028 0.00000 0.00000 0.00000
0.01030 0.00000 0.00000 0.00000
0.01032 0.00000 0.00000 0.00000
0.01033 0.00000 0.00000 0.00000
0.01035 0.00000 0.00000 0.00000
0.01036 0.00000 0.00000 0.00000
0.01038 0.00000 0.00000 0.00000
0.01040 0.00000 0.00000 0.00000
0.01041 0.00000 0.00000 0.00000
0.01043 0.00000 0.00000 0.00000
0.01045 0.00000 0.00000 0.00000
0.01046 0.00000 0.00000 0.00000
0.01048 0.00000 0.00000 0.00000
0.01050 0.00000 0.00000 0.00000
0.01051 0.00000 0.00000 0.00000
0.01053 0.00000 0.00000 0.00000
0.01055 0.00000 0.00000 0.00000
0.01056 0.00000 0.00000 0.00000
0.01058 0.00000 0.00000 0.00000
0.01060 0.00000 0.00000 0.00000
0.01062 0.00000 0.00000 0.00000
0.01063 0.00000 0.00000 0.00000
0.01065 0.00000 0.00000 0.00000
0.01067 0.00000 0.00000 0.00000
0.01068 0.00000 0.00000 0.00000
0.01070 0.00000 0.00000 0.00000
0.01072 0.00000 0.00000 0.00000
0.01073 0.00000 0.00000 0.00000
0.01075 0.00000 0.00000 0.00000
0.01077 0.00000 0.00000 0.00000
0.01079 0.00000 0.00000 0.00000
0.01080 0.00000 0.00000 0.00000
0.01082 0.00000 0.00000 0.00000
0.01084 0.00000 0.00000 0.00000
0.01085 0.00000 0.00000 0.00000
0.01087 0.00000 0.00000 0.00000
0.01089 0.00000 0.00000 0.00000
0.01091 0.00000 0.00000 0.00000
0.01092 0.00000 0.00000 0.00000
0.01094 0.00000 0.00000 0.00000
0.01096 0.00000 0.00000 0.00000
0.01098 0.00000 0.00000 0.00000
0.01099 0.00000 0.00000 0.00000
0.01101 0.00000 0.00000 0.00000
0.01103 0.00000 0.00000 0.00000
0.01105 0.00000 0.00000 0.00000
0.01106 0.00000 0.00000 0.00000
0.01108 0.00000 0.00000 0.00000
0.01110 0.00000 0.00000 0.00000
0.01112 0.00000 0.00000 0.00000
0.01113 0.00000 0.00000 0.00000
0.01115 0.00000 0.00000 0.00000
0.01117 0.00000 0.00000 0.00000
0.01119 0.00000 0.00000 0.00000
0.01121 0.00000 0.00000 0.00000
0.01122 0.00000 0.00000 0.00000
0.01124 0.00000 0.00000 0.00000
0.01126 0.00000 0.00000 0.00000
0.01128 0.00000 0.00000 0.00000
0.01130 0.00000 0.00000 0.00000
0.01131 0.00000 0.00000 0.00000
0.01133 0.00000 0.00000 0.00000
0.01135 0.00000 0.00000 0.00000
0.01137 0.00000 0.00000 0.00000
0.01139 0.00000 0.00000 0.00000
0.01140 0.00000 0.00000 0.00000
0.01142 0.00000 0.00000 0.00000
0.01144 0.00000 0.00000 0.00000
0.01146 0.00000 0.00000 0.00000
0.01148 0.00000 0.00000 0.00000
0.01149 0.00000 0.00000 0.00000
0.01151 0.00000 0.00000 0.00000
0.01153 0.00000 0.00000 0.00000
0.01155 0.00000 0.00000 0.00000
0.01157 0.00000 0.00000 0.00000
0.01159 0.00000 0.00000 0.00000
0.01160 0.00000 0.00000 0.00000
0.01162 0.00000 0.00000 0.00000
0.01164 0.00000 0.00000 0.00000
0.01166 0.00000 0.00000 0.00000
0.01168 0.00000 0.00000 0.00000
0.01170 0.00000 0.00000 0.00000
0.01172 0.00000 0.00000 0.00000
0.01174 0.00000 0.00000 0.00000
0.01175 0.00000 0.00000 0.00000
0.01177 0.00000 0.00000 0.00000
0.01179 0.00000 0.00000 0.00000
0.01181 0.00000 0.00000 0.00000
0.01183 0.00000 0.00000 0.00000
0.01185 0.00000 0.00000 0.00000
0.01187 0.00000 0.00000 0.00000
0.01189 0.00000 0.00000 0.00000
0.01190 0.00000 0.00000 0.00000
0.01192 0.00000 0.00000 0.00000
0.01194 0.00000 0.00000 0.00000
0.01196 0.00000 0.00000 0.00000
0.01198 0.00000 0.00000 0.00000
0.01200 0.00000 0.00000 0.00000
0.01202 0.00000 0.00000 0.00000
0.01204 0.00000 0.00000 0.00000
0.01206 0.00000 0.00000 0.00000
0.01208 0.00000 0.00000 0.00000
0.01210 0.00000 0.00000 0.00000
0.01211 0.00000 0.00000 0.00000
0.01213 0.00000 0.00000 0.00000
0.01215 0.00000 0.00000 0.00000
0.01217 0.00000 0.00000 0.00000
0.01219 0.00000 0.00000 0.00000
0.01221 0.00000 0.00000 0.00000
0.01223 0.00000 0.00000 0.00000
0.01225 0.00000 0.00000 0.00000
0.01227 0.00000 0.00000 0.00000
0.01229 0.00000 0.00000 0.00000
0.01231 0.00000 0.00000 0.00000
0.01233 0.00000 0.00000 0.00000
0.01235 0.00000 0.00000 0.00000
0.01237 0.00000 0.00000 0.00000
0.01239 0.00000 0.00000 0.00000
0.01241 0.00000 0.00000 0.00000
0.01243 0.00000 0.00000 0.00000
0.01245 0.00000 0.00000 0.00000
0.01247 0.00000 0.00000 0.00000
0.01249 0.00000 0.00000 0.00000
0.01251 0.00000 0.00000 0.00000
0.01253 0.00000 0.00000 0.00000
0.01255 0.00000 0.00000 0.00000
0.01257 0.00000 0.00000 0.00000
0.01259 0.00000 0.00000 0.00000
0.01261 0.00000 0.00000 0.00000
0.01263 0.00000 0.00000 0.00000
0.01265 0.00000 0.00000 0.00000
0.01267 0.00000 0.00000 0.00000
0.01269 0.00000 0.00000 0.00000
0.01271 0.00000 0.00000 0.00000
0.01273 0.00000 0.00000 0.00000
0.01275 0.00000 0.00000 0.00000
0.01277 0.00000 0.00000 0.00000
0.01279 0.00000 0.00000 0.00000
0.01281 0.00000 0.00000 0.00000
0.01283 0.00000 0.00000 0.00000
0.01285 0.00000 0.00000 0.00000
0.01287 0.00000 0.00000 0.00000
0.01289 0.00000 0.00000 0.00000
0.01291 0.00000 0.00000 0.00000
0.01293 0.00000 0.00000 0.00000
0.01295 0.00000 0.00000 0.00000
0.01297 0.00000 0.00000 0.00000
0.01299 0.00000 0.00000 0.00000
0.01301 0.00000 0.00000 0.00000
0.01303 0.00000 0.00000 0.00000
0.01306 0.00000 0.00000 0.00000
0.01308 0.00000 0.00000 0.00000
0.01310 0.00000 0.00000 0.00000
0.01312 0.00000 0.00000 0.00000
0.01314 0.00000 0.00000 0.00000
